0.98, 1.48, 1.48, 200, 0.003739510861807614, BAT SlipP = 0.05, Floor = 1/4
2.74, 3.63, 3.62, 200, 0.0007681758733258851, BAT SlipP = 0.05, Floor = 1/4
3.99, 4.85, 4.78, 200, 0.015204403207032011, BAT SlipP = 0.05, Floor = 1/4
1.05, 1.41, 1.43, 200, 0.011995896048978123, BAT SlipP = 0.05, Floor = 1/4
3.31, 4.64, 4.41, 200, 0.051286302791217334, BAT SlipP = 0.05, Floor = 1/4
1.99, 2.99, 3.05, 200, 0.01778164454762226, BAT SlipP = 0.05, Floor = 1/4
2.25, 3.06, 3.24, 200, 0.06125644926473535, BAT SlipP = 0.05, Floor = 1/4
2.82, 3.54, 3.61, 200, 0.020961967656684434, BAT SlipP = 0.05, Floor = 1/4
1.55, 2.20, 2.18, 200, 0.007507227123794688, BAT SlipP = 0.05, Floor = 1/4
7.13, 9.31, 9.10, 200, 0.022649522928504914, BAT SlipP = 0.05, Floor = 1/4
2.29, 3.56, 3.36, 200, 0.057486222073265564, BAT SlipP = 0.05, Floor = 1/4
